COD_PROVINCIA_MAT;CLAVE_TRAMITE;CODIGO_POSTAL;FECHA_PRIM_MAT;IND_USADO;PERSONA;SERVICIO;MUNICIPIO;KW;RENTING;IND_ROBO;FABRICANTE;DISTANCIA_EJES
B;1;08901;;N;D;B00;LHOSPITALETDELLOB;169.00;N;;VOLKSWAGENAG;2626
IB;B;07850;28082012;U;D;B00;STAEULALIADELRIO;63.00;N;;ND;2300
CS;1;12003;;N;D;B00;CASTELLOPLANA;68.00;N;;AUTOMOBILESCITROEN;2608
GC;1;35120;;N;D;B00;MOGAN;59.00;N;;MITSUBISHIMOTORSCORPORATION;2450
GU;1;19200;;N;D;B00;AZUQUECADEHENARES;130.00;N;;VOLKSWAGENAG;2708
O;1;33418;;N;D;B00;GOZON;85.00;N;;NISSANINTERNATIONAL,S.A.;2530
M;1;28011;;N;D;B00;MADRID;77.00;N;;SEAT,S.A.;2469
MU;1;30509;;N;D;B00;MOLINADESEGURA;66.00;N;;RENAULTS.A.S.;2606
C;1;15147;;N;D;B00;CORISTANCO;81.00;N;;AUDIA.G.;2620
BU;1;44510;;N;D;B00;LAPUEBLADEHIJAR;125.00;N;;DAIMLERAG;2840
SE;1;41018;;N;D;B00;SEVILLA;70.00;N;;FIATGROUPAUTOMOBILESS.P.A.;2300
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;96.00;S;;NISSANINTERNATIONAL,S.A.;2646
B;1;08017;;N;D;B00;BARCELONA;110.00;N;;AUDIA.G.;2620
BI;1;48100;;N;D;B00;MUNGIA;81.00;N;;VOLKSWAGENAG;2670
IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
OU;1;15894;;N;D;B00;TEO;82.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
MU;1;28039;;N;D;B00;MADRID;85.00;N;;AUTOMOBILESCITROEN;2840
CA;1;11201;;N;D;B00;ALGECIRAS;66.00;N;;VOLKSWAGENAG;2456
IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
Z;1;44550;;N;D;B00;ALCORISA;103.00;N;;VOLKSWAGENAG;2605
MU;1;30001;;N;D;B00;MURCIA;66.00;N;;VOLKSWAGENAG;2456
TO;1;45200;;N;D;B00;ILLESCAS;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
PO;1;36860;;N;D;B00;PONTEAREAS;63.00;N;;SEAT,S.A.;2469
S;1;39740;;N;D;B00;SANTOÑA;50.00;N;;HARLEYDAVIDSONMOTORCOMPANY;1520
M;1;28660;;N;X;B00;BOADILLADELMONTE;190.00;S;;JAGUARLANDROVERLIMITED;2923
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;AUTOMOBILESPEUGEOT;2728
T;1;08256;;N;X;B00;RAJADELL;77.00;N;;ND;2620
MA;1;29006;;N;D;B00;MALAGA;81.00;N;;VOLKSWAGENAG;2670
M;1;28231;;N;D;B00;LASROZASDEMADRID;88.00;N;;AUTOMOBILESCITROEN;2727
M;1;28922;;N;D;B00;ALCORCON;66.00;N;;AUTOMOBILEDACIASA;2589
MU;1;30120;;N;D;B00;MURCIA;85.00;N;;AUTOMOBILESCITROEN;2785
M;B;28189;31052006;U;X;A01;TORREMOCHADEJARAMA;92.00;N;;ND;3400
AB;1;03680;;N;D;B00;ASPE;66.00;N;;SEAT,S.A.;2469
CS;1;12004;;N;D;B00;CASTELLOPLANA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
B;1;08338;;N;D;B00;PREMIADEDALT;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
B;1;08185;;N;X;B00;LLICADEVALL;110.00;N;;SEAT,S.A.;2618
MA;1;29679;;N;D;B00;BENAHAVIS;110.00;N;;VOLKSWAGENAG;2620
GI;1;17485;;N;D;B00;VILASACRA;66.00;N;;VOLKSWAGENAG;2456
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;81.00;S;;RENAULTS.A.S.;2641
B;1;08024;;N;D;B00;BARCELONA;100.00;N;;DAIMLERAG;2699
C;1;15570;;N;D;B00;NARON;92.00;N;;VOLKSWAGENAG;2670
IB;1;07340;;N;D;B00;ALARO;51.00;N;;SKODAAUTOA.S.;2451
Z;1;50660;;N;X;A00;TAUSTE;331.00;N;;SCANIACVAB;3700
TF;1;38650;;N;D;B00;ARONA;11.00;N;;MBKINDUSTRIE;1340
GC;1;35360;;N;X;A01;TEJEDA;77.00;S;;VOLKSWAGENAG;2538
B;1;08980;;N;D;B00;SFELIUDELLOB;11.00;N;;KWANGYANGMOTORCOLTD;1553
IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
B;1;43710;;N;D;B00;SANTAOLIVA;97.00;N;;ND;2600
O;1;33204;;N;D;B00;GIJON;88.00;N;;HONDAOFTHEU.K.MANUFACTURINGLTD.;2630
V;1;46018;;N;D;B00;VALENCIA;77.00;N;;VOLKSWAGENAG;2620
B;1;08029;;N;X;B00;BARCELONA;140.00;N;;AUDIA.G.;2816
IB;1;07620;;N;X;B00;LLUCMAJOR;165.00;N;;AUDIA.G.;2758
TF;1;38399;;N;D;B00;SANTAURSULA;120.00;N;;DAIMLERAG;3200
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;AUTOMOBILESPEUGEOT;2728
A;1;03010;;N;D;B00;ALICANTE;70.00;N;;FIATGROUPAUTOMOBILESS.P.A.;2612
M;1;28025;;N;D;B00;MADRID;110.00;N;;VOLKSWAGENAG;2620
NA;1;31006;;N;D;B00;PAMPLONA;82.00;N;;ND;2780
SO;1;42110;;N;X;A00;OLVEGA;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
AL;1;04770;;N;X;A00;ADRA;0.00;N;;SCHMITZCARGOBULLAG;1310
MU;1;30565;;N;D;B00;LASTORRESCOTILLAS;68.00;N;;AUTOMOBILESCITROEN;2612
M;1;28002;;N;D;B00;MADRID;34.20;N;;YAMAHAMOTORCO,LTD;1580
LE;1;24005;;N;X;B00;LEON;106.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;3085
LU;1;27370;;N;X;A00;RABADE;0.00;N;;SCHMITZCARGOBULLAG;1310
M;1;28814;;N;D;B00;DAGANZODEARRIBA;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
MU;1;30310;;N;D;B00;CARTAGENA;66.00;N;;RENAULTS.A.S.;2606
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;50.00;S;;AUTOMOBILESPEUGEOT;2538
M;1;28006;;N;D;B00;MADRID;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
B;1;08459;;N;D;B00;SANTONIVILAMAJOR;77.00;N;;SKODAAUTOA.S.;2451
O;1;33013;;N;D;B00;OVIEDO;100.00;N;;DAIMLERAG;2699
IB;1;07005;;N;D;B00;PALMAMALLORCA;51.00;N;;SEAT,S.A.;2469
B;1;08600;;N;D;B00;BERGA;85.00;N;;BAYERISCHEMOTORENWERKEAG;2690
B;1;08013;;N;X;B00;BARCELONA;125.00;N;;DAIMLERAG;2699
CE;1;51001;;N;D;B00;CEUTA;8.10;N;;THAIYAMAHAMOTORCOLTD;1310
LU;1;33720;;N;D;B00;BOAL;121.00;N;;ADAMOPELAG;2685
B;1;17251;;N;D;B00;CALONGE;100.00;N;;DAIMLERAG;2699
M;1;19185;;N;D;B00;ELCASAR;66.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
A;1;03600;;N;D;B00;ELDA;77.00;N;;VOLKSWAGENAG;2620
PO;1;28721;;N;X;A01;REDUEÑA;353.00;S;;MANTRUCK&BUSAG;3600
VA;1;47164;;N;D;B00;SANMIGUELARROYO;81.00;N;;ADAMOPELAG;2685
SS;1;20009;;N;D;B00;DONOSTIA;86.00;N;;MITSUBISHIMOTORSCORPORATION;2670
VA;1;47009;;N;D;B00;VALLADOLID;85.00;N;;NISSANINTERNATIONAL,S.A.;2646
TF;1;38650;;N;X;B00;ARONA;109.00;N;;DUCATIMOTORHOLDINGSPA;1530
V;1;46183;;N;D;B00;LAELIANA;34.20;N;;YAMAHAMOTORCO,LTD;1580
PO;1;36001;;N;D;B00;PONTEVEDRA;140.00;N;;BAYERISCHEMOTORENWERKEAG;2810
ZA;1;49192;;N;D;B00;ROALES;77.00;N;;VOLKSWAGENAG;2620
P;1;47641;;N;D;B00;CASTROMONTE;66.00;N;;AUDIA.G.;2457
M;1;28807;;N;D;B00;ALCALADEHENARES;96.00;N;;AUTOMOBILESCITROEN;2608
V;1;46016;;N;X;B00;TAVERNESBLANQUES;121.00;N;;ADAMOPELAG;2685
CA;1;11201;;N;D;B00;ALGECIRAS;100.00;N;;DAIMLERAG;2699
B;1;28864;;N;X;B00;AJALVIR;103.00;S;;VOLKSWAGENAG;2920
BA;1;06178;;N;D;B00;VALLEDESANTAANA;51.00;N;;SKODAAUTOA.S.;2451
BI;1;20011;;N;D;B00;DONOSTIA;61.80;N;;HYUNDAIASSANOTOMOTIVSANAYIVETICARETA.S.;2570
IB;1;07820;;N;X;B00;SANTANTONIDEPORTMANY;51.00;N;;SEAT,S.A.;2469
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;FORDWERKEGMBH;2489
B;1;08970;;N;X;B00;SJOANDESPI;11.00;N;;PIAGGIO&C.S.P.A;1515
B;1;08930;;N;X;B00;SADRIADEBESOS;92.00;N;;BAYERISCHEMOTORENWERKEAG;1490
M;1;28017;;N;D;A04;MADRID;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2700
CC;1;10813;;N;D;B00;POZUELODEZARZON;68.00;N;;AUTOMOBILESCITROEN;2728
GC;1;35008;;N;D;B00;LASPALMASGC;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
H;1;21006;;N;D;B00;HUELVA;3.20;N;;PIAGGIO&C.S.P.A;1315
L;1;25003;;N;D;B00;LLEIDA;77.00;N;;SEAT,S.A.;2618
S;1;39009;;N;D;B00;SANTANDER;110.00;N;;AUDIA.G.;2816
A;1;46700;;N;X;B00;GANDIA;81.00;N;;AUDIA.G.;2620
MA;1;29018;;N;D;B00;MALAGA;20.00;N;;HONDAITALIAINDUSTRIALESPA;1420
M;1;28939;;N;D;B00;ARROYOMOLINOS;103.00;N;;VOLKSWAGENAG;2711
SE;B;41012;01011979;U;D;B00;SEVILLA;132.39;N;;ND;2270
GI;1;17486;;N;D;B00;CASTELLODEMPURIES;55.00;N;;VOLKSWAGENAG;2456
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;110.00;S;;RENAULTS.A.S.;2690
BA;1;06800;;N;D;B00;MERIDA;125.00;N;;DAIMLERAG;2874
LU;1;27600;;N;X;B00;SARRIA;100.00;N;;DAIMLERAG;2699
OU;1;32930;;N;D;B00;BARBADAS;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1325
IB;1;07100;;N;D;B00;SOLLER;64.00;N;;ADAMOPELAG;2311
B;1;08191;;N;D;B00;RUBI;110.00;N;;VOLKSWAGENAG;2620
H;1;21840;;N;X;A00;NIEBLA;0.00;N;;ND;1310
AL;1;04006;;N;X;B00;ALMERIA;140.00;N;;BAYERISCHEMOTORENWERKEAG;2595
P;1;34190;;N;X;A10;VILLAMURIELCERRATO;272.00;N;;SCANIACVAB;3700
IB;1;07008;;N;D;B00;PALMAMALLORCA;66.00;N;;ADAMOPELAG;2510
B;1;08860;;N;D;B00;CASTELLDEFELS;103.00;N;;AUTOMOBILESCITROEN;2815
V;1;46702;;N;D;B00;GANDIA;81.00;N;;SEATSA;2605
MU;1;30840;;N;D;B00;ALHAMADEMURCIA;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1340
SE;1;41010;;N;D;B00;SEVILLA;11.00;N;;MBKINDUSTRIE;1340
PO;1;36815;;N;D;A00;REDONDELA;0.00;N;;LECITRAILERSA;6140
O;1;33400;;N;D;B00;AVILES;103.00;N;;VOLKSWAGENAG;2605
C;1;15960;;N;D;B00;RIBEIRA;81.00;N;;VOLKSWAGENAG;2605
M;1;28039;;N;D;B00;MADRID;66.00;N;;ND;2650
L;1;25552;;N;D;B00;VILALLER;80.00;N;;AUTOMOBILEDACIASA;2673
M;1;45510;;N;D;B00;FUENSALIDA;66.00;N;;AUDIA.G.;2457
TF;1;38008;;N;D;B00;SCTENERIFE;16.30;N;;PIAGGIO&C.S.P.A;1535
BU;1;28913;;N;D;B00;LEGANES;77.00;N;;VOLKSWAGENAG;2620
CR;1;13620;;N;X;B00;PEDROMUÑOZ;81.00;N;;ADAMOPELAG;2685
B;1;08023;;N;D;B00;BARCELONA;2.78;N;;KWANGYANGMOTORCOLTD;1331
AL;1;04005;;N;D;B00;ALMERIA;110.00;N;;SEAT,S.A.;2620
BI;1;48980;;N;X;B00;SANTURTZI;80.00;N;;VOLKSWAGENAG;3665
MA;1;29640;;N;D;B00;FUENGIROLA;2.40;N;;GENERICMOTORGMBH;1280
M;1;28100;;N;X;B00;ALCOBENDAS;77.00;S;;SEAT,S.A.;2618
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;77.00;S;;SEAT,S.A.;2618
BA;1;41001;;N;D;B00;SEVILLA;51.00;N;;SKODAAUTOA.S.;2451
M;1;28660;;N;X;B00;BOADILLADELMONTE;77.00;S;;SEAT,S.A.;2618
IB;1;07004;;N;D;B00;PALMAMALLORCA;81.00;N;;VOLKSWAGENAG;2605
CA;1;11402;;N;X;B00;JEREZDELAFTRA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
CA;1;11401;;N;D;B00;JEREZDELAFTRA;77.00;N;;VOLKSWAGENAG;2711
CS;1;12550;;N;D;B00;ALMAZORA;103.00;N;;ND;2605
V;1;46119;;N;D;B00;NAQUERA;55.00;N;;FORDWERKEGMBH;2489
NA;1;31013;;N;X;B00;ANSOAIN;94.00;;;AUTOMOBILESCITROEN;3000
V;1;46130;;N;X;B00;MASSAMAGRELL;107.00;N;;VALLOREQUIPAMIENTOSSL;3450
M;1;28916;;N;D;B00;LEGANES;110.00;N;;VOLKSWAGENAG;2620
B;1;08520;;N;D;B00;LESFRANQUESESVALLE;24.00;N;;SUZUKIMOTORCORPORATION;1585
V;1;46440;;N;X;A00;ALMUSSAFES;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
T;1;26003;;N;D;B00;LOGROÑO;77.00;N;;SKODAAUTOA.S.;2668
V;1;46440;;N;X;A00;ALMUSSAFES;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
SE;1;28270;;N;D;B00;COLMENAREJO;68.00;N;;AUTOMOBILESCITROEN;2452
B;1;08173;;N;D;B00;SCUGATDELVALLES;100.00;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2640
M;1;28830;;N;D;B00;SANFERNANDOHENARES;110.00;N;;SEAT,S.A.;2618
M;1;28051;;N;D;B00;MADRID;51.00;N;;SKODAAUTOA.S.;2451
M;1;28918;;N;D;B00;LEGANES;103.00;N;;SKODAAUTOA.S.;2758
LU;1;27003;;N;D;B00;LUGO;85.00;N;;HYUNDAIMOTORCOMPANY;2770
M;1;28008;;N;D;B00;MADRID;80.00;N;;DAIMLERAG;2699
Z;1;50750;;N;D;B00;PINA;103.00;N;;VOLKSWAGENAG;2708
NA;1;31180;;N;D;B00;ZIZURMAYOR;103.00;N;;VOLKSWAGENAG;2605
O;1;33470;;N;D;B00;LLANERA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2700
NA;1;31800;;N;D;B00;ALSASUA;85.00;N;;FORDWERKEGMBH;2648
CA;1;11407;;N;D;B00;JEREZDELAFTRA;81.00;N;;VOLKSWAGENAG;2670
BA;1;06800;;N;D;B00;MERIDA;70.00;N;;RENAULTS.A.S.;2641
A;1;03730;;N;X;B00;JAVEA;44.00;N;;VOLKSWAGENAG;2407
B;1;43820;;N;D;B00;CALAFELL;35.00;N;;SUZUKIMOTORCORPORATION;1560
GI;1;17310;;N;D;B00;LLORETDEMAR;81.00;N;;VOLKSWAGENAG;2605
Z;1;50007;;N;D;B00;ZARAGOZA;15.00;N;;MBKINDUSTRIE;1525
M;B;28189;27022006;U;X;A01;TORREMOCHADEJARAMA;77.10;N;;ND;3400
O;1;33400;;N;D;B00;AVILES;81.00;N;;ADAMOPELAG;2685
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;66.00;N;;SEAT,S.A.;2469
TO;1;28802;;N;X;B00;ALCALADEHENARES;100.00;N;;DAIMLERAG;2699
M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;RENAULTS.A.S.;2697
L;1;25199;;N;D;B00;LLEIDA;77.00;N;;VOLKSWAGENAG;2620
AB;1;02003;;N;D;B00;ALBACETE;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
MU;1;30100;;N;D;B00;MURCIA;13.19;N;;VOLKSWAGENAG;2620
M;1;28030;;N;D;B00;MADRID;125.00;N;;ND;2840
CA;1;11207;;N;D;B00;ALGECIRAS;103.00;N;;VOLKSWAGENAG;3000
M;1;28010;;N;D;B00;MADRID;86.00;N;;MITSUBISHIMOTORSCORPORATION;2670
B;1;08206;;N;D;B00;SABADELL;77.00;N;;SEAT,S.A.;2469
IB;1;07440;;N;X;B00;MURO;149.00;N;;VOLKSWAGENAG;2626
A;1;03680;;N;D;B00;ASPE;85.00;N;;BAYERISCHEMOTORENWERKEAG;2690
TF;1;38107;;N;D;B00;SCTENERIFE;66.00;N;;AUTOMOBILEDACIASA;2673
PO;1;36315;;N;D;B00;VIGO;110.00;N;;VOLKSWAGENAG;2620
M;1;33423;;N;D;B00;OVIEDO;11.00;N;;ND;1553
B;1;08290;;N;D;B00;CERDANYOLAVALLES;118.00;N;;VOLKSWAGENAG;2708
AL;1;04740;;N;D;B00;ROQUETASDEMAR;118.00;N;;BAYERISCHEMOTORENWERKEAG;1620
T;1;43480;;N;X;B00;VILASECA;81.00;N;;ND;2605
IB;1;07208;;N;D;B00;FELANITX;110.00;N;;JAGUARLANDROVERLIMITED;2660
BI;1;28223;;N;D;B00;POZUELODEALARCON;74.00;N;;ADAMOPELAG;2511
O;1;33202;;N;D;B00;GIJON;66.00;N;;RENAULTS.A.S.;2589
M;1;28914;;N;D;B00;LEGANES;85.00;N;;RENAULTS.A.S.;2641
CR;1;13610;;N;D;B00;CAMPODECRIPTANA;120.00;N;;AUTOMOBILESCITROEN;2727
VI;1;01010;;N;D;B00;VITORIAGASTEIZ;103.00;N;;ADAMOPELAG;2737
MA;1;29750;;N;D;B00;ALGARROBO;130.00;N;;DAIMLERAG;2699
M;1;28220;;N;D;B00;MAJADAHONDA;103.00;N;;VOLKSWAGENAG;2711
IB;1;07003;;N;D;B00;PALMAMALLORCA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
GC;1;35430;;N;D;B00;FIRGAS;110.00;N;;AUDIA.G.;2601
NA;1;31570;;N;D;B00;SANADRIAN;80.00;N;;DAIMLERAG;2699
CA;1;41749;;N;X;B00;ELCUERVODESEVILLA;125.00;N;;DAIMLERAG;2840
B;1;28864;;N;X;B00;AJALVIR;110.00;S;;JAGUARLANDROVERLIMITED;2660
V;1;46180;;N;X;B00;BENAGUACIL;125.00;N;;DAIMLERAG;2840
M;1;28660;;N;D;B00;BOADILLADELMONTE;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2700
B;1;08720;;N;D;B00;VILAFRANCAPENEDES;77.00;N;;SEAT,S.A.;2618
A;1;03730;;N;D;B00;JAVEA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
IB;1;07014;;N;D;B00;PALMAMALLORCA;66.00;N;;RENAULTS.A.S.;2606
M;1;28007;;N;D;B00;MADRID;66.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2510
M;1;28005;;N;D;B00;MADRID;55.00;N;;VOLKSWAGENAG;2456
PO;1;36954;;N;D;B00;MOAÑA;11.00;N;;KWANGYANGMOTORCOLTD;1553
B;1;08012;;N;D;B00;BARCELONA;9.10;N;;THAISUZUKIMOTORCOLTD;1465
IB;1;07004;;N;D;B00;PALMAMALLORCA;66.00;N;;RENAULTS.A.S.;2606
LE;1;24206;;N;D;B00;FUENTESDECARBAJAL;106.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;3085
M;1;28007;;N;D;B00;MADRID;103.00;N;;AUTOMOBILESCITROEN;2815
M;1;28100;;N;X;B00;ALCOBENDAS;77.00;S;;VOLKSWAGENAG;2620
B;1;08227;;N;D;B00;TERRASSA;55.00;N;;ADAMOPELAG;2510
B;1;08820;;N;X;B00;ELPRATDELLOBREGAT;85.00;N;;FIATGROUPAUTOMOBILESS.P.A.;3000
LU;1;27370;;N;X;B00;RABADE;132.00;N;;FORDWERKEGMBH;2690
B;1;08021;;N;X;B00;BARCELONA;0.00;N;;ND;6140
CA;1;11640;;N;D;B00;BORNOS;55.00;N;;AUTOMOBILEDACIASA;2589
M;1;28223;;N;D;B00;POZUELODEALARCON;125.00;N;;DAIMLERAG;2755
LE;1;19171;;N;X;B00;CABANILLASDELCAMPO;100.00;N;;VOLKSWAGENAG;4325
B;1;08830;;N;D;B00;SBOIDELLOB;110.00;N;;VOLKSWAGENAG;2786
SE;1;41120;;N;D;B00;GELVES;77.00;N;;VOLKSWAGENAG;2620
M;1;28030;;N;D;B00;MADRID;73.20;N;;ND;2650
M;1;28045;;N;X;B00;MADRID;125.00;N;;DAIMLERAG;2840
