FEC_MATRICULA;COD_CLASE_MAT;MARCA;MODELO;COD_PROCEDENCIA;BASTIDOR;COD_TIPO;COD_PROPULSION;CILINDRADA;TARA;PESO_MAX;NUM_PLAZAS;IND_PRECINTO;IND_EMBARGO;COD_PROVINCIA_VEH;COD_PROVINCIA_MAT;CLAVE_TRAMITE;CODIGO_POSTAL;FECHA_PRIM_MAT;IND_USADO;PERSONA;SERVICIO;MUNICIPIO;KW;RENTING;IND_ROBO;FABRICANTE;DISTANCIA_EJES
02012015;0;YAMAHA;YP125RA;3;VG5SE684000005761;50;0;124;170;354;2;;;BU;BU;1;09003;;N;D;B00;BURGOS;10.55;N;;MBKINDUSTRIE;1525
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY122138;40;1;1422;1077;1640;5;;;V;V;1;46940;;N;X;A03;MANISES;55.00;N;;VOLKSWAGENAG;2456
02012015;0;TOYOTA;TOYOTARAV4;1;JTMRHREV70D016777;40;1;1998;1625;2190;5;;;B;B;1;08184;;N;D;B00;PALAUSOLITAIPLEGAMANS;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
02012015;0;PORSCHE;CAYENNEDIESEL;3;WP1ZZZ92ZFLA36460;25;1;2967;2110;2870;5;;;B;SE;1;08021;;N;X;B00;BARCELONA;193.00;N;;DR.ING.H.C.F.PORSCHEAG;2895
02012015;0;RENAULT;CLIO;3;VF15R040H51465226;40;1;1461;1146;1651;5;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;ND;2589
02012015;0;PEUGEOT;PARTTEPOFFICHDI92;0;VF37J9HP0EJ656654;0G;1;1560;1360;2040;5;;;GI;GI;1;17820;;N;D;B00;BANYOLES;68.00;N;;AUTOMOBILESPEUGEOT;2728
02012015;0;TOYOTA;VERSO;3;NMTDE26R90R037239;40;0;1598;1505;2125;5;;;TE;TE;1;44600;;N;D;B00;ALCAÑIZ;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
02012015;0;DAELIM;BESBI;1;KMYSA5BLSD1010007;50;0;124;96;275;2;;;TF;TF;1;38007;;N;D;B00;SCTENERIFE;6.59;N;;DAELIMMOTORCOLTD;1300
02012015;0;RENAULT;CLIO;3;VF15R0G0H52268903;40;0;1149;980;1563;5;;;IB;IB;1;07670;;N;D;B00;FELANITX;54.00;N;;RENAULTS.A.S.;2589
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW003020;40;1;1598;1246;1820;5;;;BA;BA;1;06893;;N;D;B00;SANPEDRODEMERIDA;77.00;N;;VOLKSWAGENAG;2620
02012015;0;MERCEDES-BENZ;B180CDI;3;WDD2462121J301790;40;1;1461;1375;1985;5;;;M;M;1;28030;;N;D;B00;MADRID;80.00;N;;DAIMLERAG;2699
02012015;0;NISSAN;NISSANCABSTAR;3;VWASDFTL063836857;01;1;2953;3270;3500;2;;;M;M;B;28189;25102006;U;X;A01;TORREMOCHADEJARAMA;77.10;N;;ND;3400
02012015;0;OPEL;ASTRASPORTSTOURER;3;W0LPD8E47F8025418;40;0;1364;1428;2095;5;;;C;C;1;15100;;N;D;B00;CARBALLO;103.00;N;;ADAMOPELAG;2685
02012015;0;VOLKSWAGEN;BEETLE;3;WVWZZZ16ZFM617410;40;1;1968;1342;1870;4;;;AL;AL;1;04009;;N;D;B00;ALMERIA;103.00;N;;VOLKSWAGENAG;2524
02012015;0;MAZDA;MAZDA6;0;JMZGJ621821185929;40;1;2191;1569;2070;5;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;110.00;S;;MAZDA;2830
02012015;0;TOYOTA;RAV4;1;JTMRCREV40D059035;40;1;2231;1645;2220;5;;;M;M;1;28750;;N;X;B00;SANAGUSTINGUADALIX;110.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
02012015;0;MERCEDES-BENZ;CLA200;3;WDD1173081N169085;40;1;2143;1450;2005;5;;;CA;CA;1;11201;;N;D;B00;ALGECIRAS;100.00;N;;DAIMLERAG;2699
02012015;0;CITROEN;N-C4E-HDI115COLL;3;VF7NC9HD7EY586038;40;1;1560;1205;1820;5;;;AB;AB;1;02003;;N;X;B00;ALBACETE;84.00;N;;AUTOMOBILESCITROEN;2608
02012015;0;MITSUBISHI;ASX220DI-DKAITEKI4;1;JMBXLGA8WFZ402137;40;1;2268;1520;2060;5;;;CA;CA;1;11403;;N;D;B00;JEREZDELAFTRA;110.00;N;;MITSUBISHIMOTORSCORPORATION;2670
02012015;0;HYUNDAI;IX20;3;TMAPU81CAEJ176478;40;0;1396;1268;1710;5;;;IB;IB;1;07315;;N;X;A01;ESCORCA;66.20;N;;HYUNDAIMOTORMANUFACTURINGCZECHS.R.O;2615
02012015;6;PIAGGIO;VESPASPRINT;3;ZAPC5320100002969;90;0;49;102;295;2;;;MA;MA;1;29011;;N;D;B00;MALAGA;3.20;N;;PIAGGIO&C.S.P.A;1315
02012015;0;MERCEDES-BENZ;A200CDI;3;WDD1760081V048279;40;1;2143;1380;2010;5;;;B;B;1;08780;;N;D;B00;PALLEJA;100.00;N;;DAIMLERAG;2699
02012015;0;SSANGYONG;KORANDO;1;KPTA0B1SSEP200106;40;1;1998;1611;2180;5;;;VI;VI;1;01010;;N;D;B00;VITORIAGASTEIZ;129.00;N;;SSANGYONGMOTORCO.;2650
02012015;0;CITROEN;C4AIRHDI115SED2WD;1;VF7BU9HD8FZ902498;40;1;1560;1315;2060;5;;;A;A;1;03300;;N;X;B00;ORIHUELA;84.00;N;;AUTOMOBILESCITROEN;2670
02012015;0;CITROEN;C4CABHDI100SHINE;0;VF70BBHYBEE546894;40;1;1560;1070;1610;5;;;M;AV;1;28979;;N;D;B00;SERRANILLOSVALLE;73.00;N;;AUTOMOBILESCITROEN;2595
02012015;6;PIAGGIO;ZIP50;3;LBMC25E00E4080113;90;0;49;89;164;2;;;CE;CE;1;51002;;N;D;B00;CEUTA;3.30;N;;ZONGSHENPIAGGIOFOSHANMOTCOLTD;1200
02012015;0;VOLKSWAGEN;SHARAN;3;WVWZZZ7NZFV024803;40;1;1968;1697;2360;5;;;M;M;1;28024;;N;D;B00;MADRID;85.00;N;;VOLKSWAGENAG;2920
02012015;0;AUDI;A4LIMOUSINE;3;WAUZZZ8K8FN026961;40;1;1968;1480;2030;5;;;GI;GI;1;17800;;N;D;B00;OLOT;110.00;N;;AUDIA.G.;2817
02012015;0;HUSQVARNA-CAGIVA;HUSQVARNAFE350;0;VBKUAA407FM223750;50;0;350;108;335;1;;;O;O;1;33006;;N;D;B00;OVIEDO;15.00;N;;ND;1495
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW061932;40;1;1598;1246;1820;5;;;MA;MA;1;29679;;N;D;B00;BENAHAVIS;77.00;N;;VOLKSWAGENAG;2620
02012015;0;MERCEDES-BENZ;E220BLUETEC;3;WDD2122011B140555;40;1;2143;1790;2430;5;;;NA;NA;1;31180;;N;D;B00;ZIZURMAYOR;125.00;N;;DAIMLERAG;2874
02012015;0;CITROEN;NC4PIEHD115INTEN5P;0;VF73D9HC8EJ786740;40;1;1560;1373;1940;5;;;M;M;1;28660;;N;X;B00;BOADILLADELMONTE;85.00;N;;AUTOMOBILESCITROEN;2785
02012015;0;BMW;R1200RT;3;WB10A0302FZ241598;50;0;1170;246;475;2;;;SO;SO;1;42200;;N;D;B00;ALMAZAN;92.00;N;;BAYERISCHEMOTORENWERKEAG;1490
02012015;2;FLIEGL;SDS;3;WFDFLT33802015730;S0;;0;5135;38000;0;;;CU;CU;1;16415;;N;X;A00;VILLAMAYORSANTIAGO;0.00;N;;FLIEGLFAHRZEUGBAUGMBH;1410
02012015;0;KIA;RIO;1;KNADM511AE6473092;40;0;1248;1052;1560;5;;;GC;GC;1;35572;;N;D;B00;TIAS;62.50;N;;KIAMOTORSCORPORATION;2570
02012015;0;SEAT;ALTEAXL;0;VSSZZZ5PZFR010982;40;1;1598;1405;2024;5;;;B;B;1;08170;;N;D;B00;MONTORNESDELVALLES;77.00;N;;SEAT,S.A.;2578
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY197347;40;0;999;980;1540;5;;;V;V;1;46200;;N;D;B00;PAIPORTA;55.00;N;;VOLKSWAGENAG;2456
02012015;0;MERCEDES-BENZ;CLA220CDI;3;WDD1173031N119544;40;1;2143;1525;2005;5;;;M;M;1;28770;;N;D;B00;COLMENARVIEJO;125.00;N;;DAIMLERAG;2699
02012015;0;MERCEDES-BENZ;C220BLUETEC;3;WDD2050041F089380;40;1;2143;1570;2135;5;;;M;M;1;28023;;N;X;B00;MADRID;125.00;N;;DAIMLERAG;2840
02012015;0;SEAT;IBIZAST;0;VSSZZZ6JZFR080405;40;0;1197;1070;1605;5;;;IB;IB;1;07579;;N;D;B00;ARTA;63.00;N;;SEAT,S.A.;2469
02012015;0;CITROEN;NC4PIEHD115ETG6EX5P;0;VF73D9HC8EJ865887;40;1;1560;1295;1940;5;;;VA;PO;1;47300;;N;D;B00;PEÑAFIEL;85.00;N;;AUTOMOBILESCITROEN;2785
02012015;0;AUDI;A6AVANT;3;WAUZZZ4G8FN037248;40;1;1968;1725;2355;5;;;M;B;1;28864;;N;X;B00;AJALVIR;140.00;S;;AUDIA.G.;2914
02012015;0;KYMCO;AGILITYCITY125;1;LC2C20000E2604024;50;0;125;119;273;2;;;B;B;1;08024;;N;D;B00;BARCELONA;7.00;N;;CHANGZHOUKWANGYANGMOTORCOLTD;1340
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY216226;40;1;1422;1076;1640;5;;;M;M;1;28213;;N;X;B00;COLMENARDELARROYO;66.00;N;;VOLKSWAGENAG;2456
02012015;0;TOYOTA;TOYOTAAURIS;3;SB1ZE3JEX0E069340;40;0;1598;1350;1835;5;;;MU;MU;1;30204;;N;D;B00;CARTAGENA;97.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
02012015;0;HYUNDAI;ELANTRA;1;KMHDH41CAEU218063;40;0;1591;1268;1770;5;;;L;L;1;25001;;N;D;B00;LLEIDA;97.00;N;;ND;2700
02012015;0;MITSUBISHI;ASX180;1;JMBXJGA6WFZ406644;40;1;1798;1425;2060;5;;;CA;CA;1;11201;;N;D;B00;ALGECIRAS;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
02012015;0;SKODA;SUPERB;3;TMBJE73T6F9035442;40;1;1968;1501;2139;5;;;SS;SS;1;20214;;N;D;B00;SEGURA;103.00;N;;SKODAAUTOA.S.;2758
02012015;0;MERCEDES-BENZ;GLA200CDI;3;WDC1569081J086530;40;1;2143;1460;2020;5;;;AL;AL;1;04230;;N;D;B00;HUERCALDEALMERIA;100.00;N;;DAIMLERAG;2699
02012015;0;PEUGEOT;EXPFG227L1H1125;3;VF3XSAHZ8EZ045836;20;1;1997;1686;2698;3;;;A;A;1;03006;;N;X;A00;ALICANTE;94.00;N;;AUTOMOBILESPEUGEOT;3000
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY013732;40;1;1422;1076;1640;5;;;M;M;1;28943;;N;D;B00;FUENLABRADA;66.00;N;;VOLKSWAGENAG;2456
02012015;0;MERCEDES-BENZ;CITAN;3;WDF4157031U155004;0G;1;1461;1525;2160;5;;;CS;T;1;12006;;N;X;B00;CASTELLOPLANA;55.00;N;;ND;2697
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW197137;40;0;1984;1318;1870;5;;;B;B;1;08901;;N;D;B00;LHOSPITALETDELLOB;169.00;N;;VOLKSWAGENAG;2626
02012015;0;FIAT;FIAT500;3;ZFA312000007884666;40;0;875;997;1385;4;;;IB;IB;B;07850;28082012;U;D;B00;STAEULALIADELRIO;63.00;N;;ND;2300
02012015;0;CITROEN;C4HDI90TONIC;3;VF7NC9HP0EY584890;40;1;1560;1280;1790;5;;;CS;CS;1;12003;;N;D;B00;CASTELLOPLANA;68.00;N;;AUTOMOBILESCITROEN;2608
02012015;0;MITSUBISHI;SPACESTAR120MPIMOT;1;MMCXNA03AFH016419;40;0;1193;845;1340;5;;;GC;GC;1;35120;;N;D;B00;MOGAN;59.00;N;;MITSUBISHIMOTORSCORPORATION;2450
02012015;0;VOLKSWAGEN;CC;3;WVWZZZ3CZFE817021;40;1;1968;1524;2110;5;;;GU;GU;1;19200;;N;D;B00;AZUQUECADEHENARES;130.00;N;;VOLKSWAGENAG;2708
02012015;0;NISSAN;NISSANJUKE;3;SJNFEAF15U7016140;40;0;1197;1277;1710;5;;;O;O;1;33418;;N;D;B00;GOZON;85.00;N;;NISSANINTERNATIONAL,S.A.;2530
02012015;0;SEAT;IBIZA;0;VSSZZZ6JZFR076998;40;1;1598;1095;1670;5;;;M;M;1;28011;;N;D;B00;MADRID;77.00;N;;SEAT,S.A.;2469
02012015;0;RENAULT;CAPTUR;0;VF12RFL1H51570393;40;1;1461;1170;1729;5;;;MU;MU;1;30509;;N;D;B00;MOLINADESEGURA;66.00;N;;RENAULTS.A.S.;2606
02012015;0;AUDI;A3SPORTBACK;3;WAUZZZ8V7FA067342;40;1;1598;1260;1820;5;;;C;C;1;15147;;N;D;B00;CORISTANCO;81.00;N;;AUDIA.G.;2620
02012015;0;MERCEDES-BENZ;C220BLUETEC;3;WDD2050041F090306;40;1;2143;1495;2135;5;;;TE;BU;1;44510;;N;D;B00;LAPUEBLADEHIJAR;125.00;N;;DAIMLERAG;2840
02012015;0;FIAT;FIAT500;3;ZFA3120000J305230;40;1;1248;1017;1420;4;;;SE;SE;1;41018;;N;D;B00;SEVILLA;70.00;N;;FIATGROUPAUTOMOBILESS.P.A.;2300
02012015;0;NISSAN;QASHQAI;0;SJNFDAJ11U1275962;40;1;1598;1544;1960;5;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;96.00;S;;NISSANINTERNATIONAL,S.A.;2646
02012015;0;AUDI;A3SPORTBACK;3;WAUZZZ8V1FA105518;40;0;1395;1225;1785;5;;;B;B;1;08017;;N;D;B00;BARCELONA;110.00;N;;AUDIA.G.;2620
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW562909;40;1;1598;1361;1940;5;;;BI;BI;1;48100;;N;D;B00;MUNGIA;81.00;N;;VOLKSWAGENAG;2670
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY185923;40;0;999;980;1540;5;;;IB;IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
02012015;0;TOYOTA;TOYOTAVERSO;1;NMTDM26R70R021141;40;1;1598;1610;2260;7;;;C;OU;1;15894;;N;D;B00;TEO;82.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2780
02012015;0;CITROEN;NGC4PICASSOHDI115;0;VF73A9HC8EJ833408;40;1;1560;1320;2150;7;;;M;MU;1;28039;;N;D;B00;MADRID;85.00;N;;AUTOMOBILESCITROEN;2840
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY154258;40;1;1422;1076;1670;5;;;CA;CA;1;11201;;N;D;B00;ALGECIRAS;66.00;N;;VOLKSWAGENAG;2456
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY182015;40;0;999;980;1540;5;;;IB;IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
02012015;0;VOLKSWAGEN;TIGUAN;3;WVGZZZ5NZFW013954;40;1;1968;1466;2080;5;;;TE;Z;1;44550;;N;D;B00;ALCORISA;103.00;N;;VOLKSWAGENAG;2605
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY193383;40;1;1422;1076;1640;5;;;MU;MU;1;30001;;N;D;B00;MURCIA;66.00;N;;VOLKSWAGENAG;2456
02012015;0;TOYOTA;AURIS;3;SB1MF3JEX0E011770;40;1;1998;1320;1915;5;;;TO;TO;1;45200;;N;D;B00;ILLESCAS;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
02012015;0;SEAT;IBIZA;0;VSSZZZ6JZFR086649;40;0;1197;1090;1570;5;;;PO;PO;1;36860;;N;D;B00;PONTEAREAS;63.00;N;;SEAT,S.A.;2469
02012015;0;HARLEYDAVIDSON;FORTY-EIGHT;3;5HD1LC3C0EC446309;50;0;1202;245;454;2;;;S;S;1;39740;;N;D;B00;SANTOÑA;50.00;N;;HARLEYDAVIDSONMOTORCOMPANY;1520
02012015;0;LANDROVER;RANGEROVERSPORT;3;SALWA2KF3FA513727;25;1;2993;2108;3000;5;;;M;M;1;28660;;N;X;B00;BOADILLADELMONTE;190.00;S;;JAGUARLANDROVERLIMITED;2923
02012015;0;PEUGEOT;PARTFGL11.6HDI75;0;VF37A9HN0EN523805;20;1;1560;1294;1935;2;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;AUTOMOBILESPEUGEOT;2728
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW080426;40;1;1598;1321;1820;5;;;B;T;1;08256;;N;X;B00;RAJADELL;77.00;N;;ND;2620
02012015;0;VOLKSWAGEN;GOLFSPORTSVAN;3;WVWZZZAUZFW500829;40;1;1598;1361;1940;5;;;MA;MA;1;29006;;N;D;B00;MALAGA;81.00;N;;VOLKSWAGENAG;2670
02012015;0;CITROEN;DS5BLUEHDI120STYLE;3;VF7KFBHZMES513366;40;1;1560;1428;2020;5;;;M;M;1;28231;;N;D;B00;LASROZASDEMADRID;88.00;N;;AUTOMOBILESCITROEN;2727
02012015;0;DACIA;SANDERO;0;UU15SDAAC51795895;40;0;898;1098;1550;5;;;M;M;1;28922;;N;D;B00;ALCORCON;66.00;N;;AUTOMOBILEDACIASA;2589
02012015;0;CITROEN;NC4PIEHD115INTEN5P;0;VF73D9HC8EJ870434;40;1;1560;1298;1940;5;;;MU;MU;1;30120;;N;D;B00;MURCIA;85.00;N;;AUTOMOBILESCITROEN;2785
02012015;0;NISSAN;NISSANCABSTAR;3;VWASBFTL063829116;01;1;2953;3270;3500;2;;;M;M;B;28189;31052006;U;X;A01;TORREMOCHADEJARAMA;92.00;N;;ND;3400
02012015;0;SEAT;IBIZA;0;VSSZZZ6JZFR074975;40;1;1598;1095;1670;5;;;A;AB;1;03680;;N;D;B00;ASPE;66.00;N;;SEAT,S.A.;2469
02012015;0;TOYOTA;RAV4;3;JTMWHREV00D028546;40;1;1998;1645;2135;5;;;CS;CS;1;12004;;N;D;B00;CASTELLOPLANA;91.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2660
02012015;0;LEXUS;LEXUSCT200H;1;JTHKD5BH302219700;40;0;1798;1440;1845;5;;;B;B;1;08338;;N;D;B00;PREMIADEDALT;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
02012015;0;SEAT;LEON;0;VSSZZZ5FZFR087394;40;0;1395;1166;1760;5;;;B;B;1;08185;;N;X;B00;LLICADEVALL;110.00;N;;SEAT,S.A.;2618
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW175885;40;1;1968;1301;1880;5;;;MA;MA;1;29679;;N;D;B00;BENAHAVIS;110.00;N;;VOLKSWAGENAG;2620
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY209361;40;0;1197;1032;1590;5;;;GI;GI;1;17485;;N;D;B00;VILASACRA;66.00;N;;VOLKSWAGENAG;2456
02012015;0;RENAULT;MEGANE;0;VF1BZ100652322701;40;1;1461;1290;1797;5;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;81.00;S;;RENAULTS.A.S.;2641
02012015;0;MERCEDES-BENZ;GLA200CDI;3;WDC1569081J097357;40;1;2143;1460;2020;5;;;B;B;1;08024;;N;D;B00;BARCELONA;100.00;N;;DAIMLERAG;2699
02012015;0;VOLKSWAGEN;GOLFSPORTSVAN;3;WVWZZZAUZFW570370;40;0;1395;1287;1880;5;;;C;C;1;15570;;N;D;B00;NARON;92.00;N;;VOLKSWAGENAG;2670
02012015;0;SKODA;FABIA;3;TMBEH25J7F3055435;40;0;1198;1020;1550;5;;;IB;IB;1;07340;;N;D;B00;ALARO;51.00;N;;SKODAAUTOA.S.;2451
02012015;0;SCANIA;R450;3;YS2R4X20009192672;81;1;12740;8462;18000;2;;;Z;Z;1;50660;;N;X;A00;TAUSTE;331.00;N;;SCANIACVAB;3700
02012015;0;YAMAHA;YZF-R125;3;VG5RE111000004818;50;0;124;130;320;2;;;TF;TF;1;38650;;N;D;B00;ARONA;11.00;N;;MBKINDUSTRIE;1340
02012015;0;VOLKSWAGEN;BEETLECABRIO;3;WVWZZZ16ZFM805286;40;0;1197;1313;1760;4;;;GC;GC;1;35360;;N;X;A01;TEJEDA;77.00;S;;VOLKSWAGENAG;2538
02012015;0;KYMCO;SUPERDINK125;1;RFBV21000E1520385;50;0;125;167;341;2;;;B;B;1;08980;;N;D;B00;SFELIUDELLOB;11.00;N;;KWANGYANGMOTORCOLTD;1553
02012015;0;VOLKSWAGEN;POLO;3;WVWZZZ6RZFY187823;40;1;1422;1077;1640;5;;;IB;IB;1;07315;;N;X;A01;ESCORCA;55.00;N;;VOLKSWAGENAG;2456
02012015;0;TOYOTA;AURIS;3;SB1ME3JE30E070873;40;0;1598;1300;1805;5;;;T;B;1;43710;;N;D;B00;SANTAOLIVA;97.00;N;;ND;2600
02012015;0;HONDA;HONDACR-V;3;SHSRE6700EU229725;40;1;1597;1566;2100;5;;;O;O;1;33204;;N;D;B00;GIJON;88.00;N;;HONDAOFTHEU.K.MANUFACTURINGLTD.;2630
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW182363;40;0;1197;1135;1720;5;;;V;V;1;46018;;N;D;B00;VALENCIA;77.00;N;;VOLKSWAGENAG;2620
02012015;0;AUDI;Q5;3;WAUZZZ8R8FA059477;25;1;1968;1850;2460;5;;;B;B;1;08029;;N;X;B00;BARCELONA;140.00;N;;AUDIA.G.;2816
02012015;0;AUDI;A5COUPC);3;WAUZZZ8TXFA037637;40;0;1984;1510;2010;4;;;IB;IB;1;07620;;N;X;B00;LLUCMAJOR;165.00;N;;AUDIA.G.;2758
02012015;0;MERCEDES-BENZ;V220CDI;3;WDF44781313013238;0G;1;2143;2000;3050;8;;;TF;TF;1;38399;;N;D;B00;SANTAURSULA;120.00;N;;DAIMLERAG;3200
02012015;0;PEUGEOT;PARTFGL11.6HDI75;0;VF37A9HN0EN523236;20;1;1560;1294;1935;2;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;55.00;S;;AUTOMOBILESPEUGEOT;2728
02012015;0;FIAT;FIAT500L;3;ZFA19900005202416;40;0;1368;1281;1805;5;;;A;A;1;03010;;N;D;B00;ALICANTE;70.00;N;;FIATGROUPAUTOMOBILESS.P.A.;2612
02012015;0;VOLKSWAGEN;GOLF;3;WVWZZZAUZFW179448;40;1;1968;1376;1880;5;;;M;M;1;28025;;N;D;B00;MADRID;110.00;N;;VOLKSWAGENAG;2620
02012015;0;TOYOTA;TOYOTAVERSO;1;NMTDM26R10R010717;40;1;1598;1520;2260;5;;;NA;NA;1;31006;;N;D;B00;PAMPLONA;82.00;N;;ND;2780
02012015;2;KRONE;N/A;3;WKESD000000638481;S7;;0;8918;36000;0;;;SO;SO;1;42110;;N;X;A00;OLVEGA;0.00;N;;FAHRZEUGWERKBERNARDKRONEGMBH;1310
02012015;2;SCHMITZCARGOBULL;SKO24/L-13.4FP60;3;WSM00000005135464;S7;;0;8633;35000;0;;;AL;AL;1;04770;;N;X;A00;ADRA;0.00;N;;SCHMITZCARGOBULLAG;1310
02012015;0;CITROEN;DS4HDI90DESIGN;3;VF7NX9HP0EY584742;40;1;1560;1205;1765;5;;;MU;MU;1;30565;;N;D;B00;LASTORRESCOTILLAS;68.00;N;;AUTOMOBILESCITROEN;2612
02012015;0;YAMAHA;XP500;3;JYASJ091000019046;50;0;530;167;415;2;;;M;M;1;28002;;N;D;B00;MADRID;34.20;N;;YAMAHAMOTORCO,LTD;1580
02012015;0;TOYOTA;TOYOTAHILUX;1;AHTFR22G606092513;02;1;2494;1969;2690;5;;;LE;LE;1;24005;;N;X;B00;LEON;106.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;3085
02012015;2;SCHMITZCARGOBULL;SCS24/L-13.62EB;3;WSM00000007007889;S2;;0;6883;35000;0;;;LU;LU;1;27370;;N;X;A00;RABADE;0.00;N;;SCHMITZCARGOBULLAG;1310
02012015;0;MITSUBISHI;ASX180DI-DKAITEKI;1;JMBXJGA6WFZ402188;40;1;1798;1425;2060;5;;;M;M;1;28814;;N;D;B00;DAGANZODEARRIBA;85.00;N;;MITSUBISHIMOTORSCORPORATION;2670
02012015;0;RENAULT;CAPTUR;0;VF12RFL1H51817604;40;1;1461;1170;1729;5;;;MU;MU;1;30310;;N;D;B00;CARTAGENA;66.00;N;;RENAULTS.A.S.;2606
02012015;0;PEUGEOT;208;0;VF3CC8HR0ET163467;40;1;1398;1125;1580;5;;;M;M;1;28294;;N;X;B00;ROBLEDODECHAVELA;50.00;S;;AUTOMOBILESPEUGEOT;2538
02012015;0;TOYOTA;AURIS;3;SB1MS3JE40E138185;40;0;1798;1395;1815;5;;;M;M;1;28006;;N;D;B00;MADRID;73.00;N;;TOYOTAMOTOREUROPEN.V./S.A.;2600
